COD_UNICO_EMP;EMPR_NOME_FAN;Origem;Descricao;CFOP;CME;Serie;C.Custo;Conta Gerencial;Servicos;Oper.Trib.ICMS;Oper.Trib.ICMS-ST;Oper.Trib.IPI;Oper.Trib.PIS/COFINS;Perc.Desconto;CEBF
U01001;ADEX;34;ENTRADA DE BRINDE/BONIFICAÇÃO                               ;1910;190;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;35;ENTRADA PARA DEMONSTRAÇÃO                                   ;1912;300;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;36;ENTRADA EM COMODATO                                         ;1908;300;      ;1000;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;37;ENTRADA POR CONTA E ORDEM                                   ;1923;300;      ;      ;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;38;ENTRADA DE TRANSFERENCIA                                    ;1152;120;      ;1400;00.00.000;NAO;S;n;N;O;0;          
U01001;ADEX;39;ENTRADA PARA INDUSTRIALIZAÇÃO                               ;1901;190;      ;1;11.01.007;NAO;n;N;N;N;0;          
U01001;ADEX;40;NOTA FISCAL COMPLEMENTAR DE IPI                             ;5102;300;      ;      ;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;45;ENTRADA DE VASILHAMES                                       ;1920;300;      ;1500;11.01.003;NAO;N;n;N;S;0;          
U01001;ADEX;46;DESPESAS IMPORTAÇÃO SEM VALOR COMERCIAL                     ;1933;190;DE    ;1000;11.04.011;NAO;S;S;S;S;0;          
U01001;ADEX;47;DESPESAS DE IMPORTAÇÃO                                      ;1949;190;      ;1000;11.04.011;NAO;N;N;N;N;0;          
U01001;ADEX;48;DESPESAS EM GERAL                                           ;1949;190;      ;1;15.01.011;NAO;N;N;N;S;0;          
U01001;ADEX;49;PROVISAO (CONTAS A PAGAR)                                   ;    ;   ;      ;      ;00.00.000;NAO;N;N;N;S;0;          
U01001;ADEX;50;RETORNO DE CONSERTO                                         ;1916;300;      ;1000;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;51;RETORNO DE GARANTIA                                         ;1949;190;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;52;RETORNO DE DEMONSTRAÇÃO                                     ;1913;130;      ;1;00.00.000;NAO;S;S;S;S;0;          
U01001;ADEX;53;RETORNO DE INDUSTRIALIZAÇÃO                                 ;1902;300;      ;1;00.00.000;NAO;N;N;N;N;0;          
U01001;ADEX;54;RETORNO MAT NAO APLICADO IND.                               ;1903;300;      ;1;00.00.000;NAO;N;N;N;N;0;          
